"","Date","Frequency"
"1","2006-01-01",4
"2","2006-01-02",4
"3","2006-01-03",2
"4","2006-01-04",11
"5","2006-01-05",3
"6","2006-01-06",2
"7","2006-01-07",5
"8","2006-01-08",3
"9","2006-01-09",1
"10","2006-01-10",1
"11","2006-01-11",2
"12","2006-01-12",5
"13","2006-01-13",1
"14","2006-01-14",4
"15","2006-01-15",6
"16","2006-01-16",4
"17","2006-01-17",3
"18","2006-01-18",3
"19","2006-01-19",6
"20","2006-01-20",1
"21","2006-01-21",1
"22","2006-01-22",2
"23","2006-01-23",2
"24","2006-01-24",5
"25","2006-01-25",3
"26","2006-01-26",3
"27","2006-01-27",3
"28","2006-01-28",4
"29","2006-01-29",6
"30","2006-01-30",3
"31","2006-01-31",1
"32","2006-02-01",2
"33","2006-02-02",4
"34","2006-02-03",1
"35","2006-02-04",2
"36","2006-02-05",2
"37","2006-02-06",8
"38","2006-02-07",2
"39","2006-02-08",7
"40","2006-02-09",3
"41","2006-02-10",5
"42","2006-02-11",4
"43","2006-02-13",7
"44","2006-02-14",5
"45","2006-02-15",10
"46","2006-02-16",2
"47","2006-02-17",6
"48","2006-02-18",3
"49","2006-02-19",3
"50","2006-02-20",4
"51","2006-02-21",1
"52","2006-02-22",2
"53","2006-02-23",6
"54","2006-02-24",5
"55","2006-02-25",5
"56","2006-02-26",4
"57","2006-02-27",1
"58","2006-02-28",3
"59","2006-03-01",10
"60","2006-03-02",3
"61","2006-03-03",6
"62","2006-03-04",9
"63","2006-03-05",1
"64","2006-03-06",5
"65","2006-03-07",2
"66","2006-03-08",7
"67","2006-03-09",1
"68","2006-03-10",6
"69","2006-03-11",12
"70","2006-03-12",5
"71","2006-03-13",9
"72","2006-03-14",7
"73","2006-03-15",15
"74","2006-03-16",7
"75","2006-03-17",3
"76","2006-03-18",5
"77","2006-03-19",6
"78","2006-03-20",1
"79","2006-03-21",5
"80","2006-03-22",5
"81","2006-03-23",8
"82","2006-03-24",1
"83","2006-03-25",5
"84","2006-03-26",4
"85","2006-03-28",5
"86","2006-03-29",3
"87","2006-03-30",3
"88","2006-03-31",5
"89","2006-04-01",8
"90","2006-04-02",5
"91","2006-04-03",5
"92","2006-04-04",4
"93","2006-04-05",10
"94","2006-04-06",4
"95","2006-04-07",6
"96","2006-04-08",8
"97","2006-04-09",4
"98","2006-04-10",2
"99","2006-04-11",3
"100","2006-04-12",2
"101","2006-04-13",5
"102","2006-04-14",4
"103","2006-04-15",9
"104","2006-04-16",5
"105","2006-04-17",5
"106","2006-04-18",4
"107","2006-04-19",6
"108","2006-04-20",3
"109","2006-04-21",4
"110","2006-04-22",9
"111","2006-04-23",7
"112","2006-04-24",3
"113","2006-04-25",3
"114","2006-04-26",1
"115","2006-04-27",2
"116","2006-04-28",5
"117","2006-04-29",8
"118","2006-04-30",6
"119","2006-05-01",6
"120","2006-05-02",6
"121","2006-05-03",4
"122","2006-05-04",6
"123","2006-05-05",2
"124","2006-05-06",11
"125","2006-05-07",7
"126","2006-05-08",1
"127","2006-05-09",3
"128","2006-05-10",4
"129","2006-05-11",4
"130","2006-05-12",7
"131","2006-05-13",8
"132","2006-05-14",6
"133","2006-05-15",5
"134","2006-05-16",1
"135","2006-05-17",5
"136","2006-05-18",1
"137","2006-05-19",6
"138","2006-05-20",10
"139","2006-05-21",6
"140","2006-05-22",6
"141","2006-05-23",7
"142","2006-05-25",4
"143","2006-05-26",1
"144","2006-05-27",5
"145","2006-05-28",4
"146","2006-05-29",3
"147","2006-05-30",1
"148","2006-05-31",2
"149","2006-06-01",11
"150","2006-06-02",2
"151","2006-06-03",1
"152","2006-06-04",4
"153","2006-06-05",7
"154","2006-06-06",15
"155","2006-06-07",7
"156","2006-06-08",1
"157","2006-06-09",2
"158","2006-06-10",6
"159","2006-06-11",1
"160","2006-06-12",7
"161","2006-06-13",4
"162","2006-06-14",6
"163","2006-06-15",9
"164","2006-06-16",4
"165","2006-06-17",6
"166","2006-06-18",8
"167","2006-06-19",5
"168","2006-06-20",7
"169","2006-06-21",1
"170","2006-06-22",3
"171","2006-06-23",7
"172","2006-06-24",2
"173","2006-06-25",4
"174","2006-06-26",4
"175","2006-06-27",5
"176","2006-06-28",3
"177","2006-06-29",3
"178","2006-06-30",11
"179","2006-07-01",8
"180","2006-07-02",4
"181","2006-07-03",1
"182","2006-07-04",10
"183","2006-07-05",4
"184","2006-07-06",2
"185","2006-07-07",4
"186","2006-07-08",7
"187","2006-07-09",2
"188","2006-07-10",4
"189","2006-07-11",4
"190","2006-07-12",7
"191","2006-07-13",6
"192","2006-07-14",7
"193","2006-07-15",21
"194","2006-07-16",7
"195","2006-07-17",8
"196","2006-07-18",6
"197","2006-07-19",5
"198","2006-07-20",7
"199","2006-07-21",6
"200","2006-07-22",6
"201","2006-07-23",3
"202","2006-07-24",1
"203","2006-07-25",7
"204","2006-07-26",6
"205","2006-07-27",3
"206","2006-07-28",5
"207","2006-07-29",7
"208","2006-07-30",10
"209","2006-07-31",4
"210","2006-08-01",9
"211","2006-08-02",4
"212","2006-08-03",3
"213","2006-08-04",7
"214","2006-08-05",8
"215","2006-08-06",9
"216","2006-08-07",3
"217","2006-08-08",7
"218","2006-08-09",9
"219","2006-08-10",4
"220","2006-08-11",4
"221","2006-08-12",7
"222","2006-08-13",10
"223","2006-08-14",8
"224","2006-08-15",9
"225","2006-08-16",9
"226","2006-08-17",7
"227","2006-08-18",4
"228","2006-08-19",12
"229","2006-08-20",7
"230","2006-08-21",7
"231","2006-08-22",8
"232","2006-08-23",4
"233","2006-08-24",4
"234","2006-08-25",5
"235","2006-08-26",5
"236","2006-08-27",3
"237","2006-08-29",6
"238","2006-08-30",1
"239","2006-08-31",2
"240","2006-09-01",10
"241","2006-09-02",10
"242","2006-09-03",5
"243","2006-09-04",2
"244","2006-09-05",5
"245","2006-09-06",3
"246","2006-09-07",6
"247","2006-09-08",5
"248","2006-09-09",1
"249","2006-09-10",2
"250","2006-09-11",5
"251","2006-09-12",7
"252","2006-09-13",6
"253","2006-09-14",2
"254","2006-09-15",10
"255","2006-09-16",7
"256","2006-09-17",5
"257","2006-09-18",4
"258","2006-09-19",2
"259","2006-09-20",5
"260","2006-09-21",6
"261","2006-09-22",8
"262","2006-09-23",5
"263","2006-09-24",2
"264","2006-09-25",7
"265","2006-09-26",4
"266","2006-09-27",4
"267","2006-09-28",4
"268","2006-09-29",4
"269","2006-09-30",5
"270","2006-10-01",26
"271","2006-10-02",6
"272","2006-10-03",8
"273","2006-10-04",8
"274","2006-10-05",2
"275","2006-10-06",4
"276","2006-10-07",2
"277","2006-10-08",5
"278","2006-10-09",9
"279","2006-10-10",5
"280","2006-10-11",9
