"","state","mday","month","year","Date"
"35313","ME",1,1,2006,2006-01-01
"35314","NM",1,1,2006,2006-01-01
"35315","OK",1,1,2006,2006-01-01
"35316","CA",1,1,2006,2006-01-01
"35309","IL",2,1,2006,2006-01-02
"35310","FL",2,1,2006,2006-01-02
"35311","MI",2,1,2006,2006-01-02
"35312","VA",2,1,2006,2006-01-02
"35307","CO",3,1,2006,2006-01-03
"35308","CA",3,1,2006,2006-01-03
"35296","CA",4,1,2006,2006-01-04
"35297","CA",4,1,2006,2006-01-04
"35298","CA",4,1,2006,2006-01-04
"35299","FL",4,1,2006,2006-01-04
"35300","NC",4,1,2006,2006-01-04
"35301","AR",4,1,2006,2006-01-04
"35302","SC",4,1,2006,2006-01-04
"35303","PA",4,1,2006,2006-01-04
"35304","MT",4,1,2006,2006-01-04
"35305","GA",4,1,2006,2006-01-04
"35306","ND",4,1,2006,2006-01-04
"35293","CA",5,1,2006,2006-01-05
"35294","UT",5,1,2006,2006-01-05
"35295","CA",5,1,2006,2006-01-05
"35291","TX",6,1,2006,2006-01-06
"35292","TX",6,1,2006,2006-01-06
"35286","TX",7,1,2006,2006-01-07
"35287","NY",7,1,2006,2006-01-07
"35288","CT",7,1,2006,2006-01-07
"35289","NC",7,1,2006,2006-01-07
"35290","AZ",7,1,2006,2006-01-07
"35283","FL",8,1,2006,2006-01-08
"35284","TX",8,1,2006,2006-01-08
"35285","CO",8,1,2006,2006-01-08
"35282","CA",9,1,2006,2006-01-09
"35281","NY",10,1,2006,2006-01-10
"35279","WV",11,1,2006,2006-01-11
"35280","FL",11,1,2006,2006-01-11
"35274","PA",12,1,2006,2006-01-12
"35275","CO",12,1,2006,2006-01-12
"35276","MT",12,1,2006,2006-01-12
"35277","NJ",12,1,2006,2006-01-12
"35278","OK",12,1,2006,2006-01-12
"319","OK",13,1,2006,2006-01-13
"35270","OR",14,1,2006,2006-01-14
"35271","FL",14,1,2006,2006-01-14
"35272","NC",14,1,2006,2006-01-14
"35273","MN",14,1,2006,2006-01-14
"35264","FL",15,1,2006,2006-01-15
"35265","NY",15,1,2006,2006-01-15
"35266","AZ",15,1,2006,2006-01-15
"35267","MO",15,1,2006,2006-01-15
"35268","NY",15,1,2006,2006-01-15
"35269","IL",15,1,2006,2006-01-15
"35260","TX",16,1,2006,2006-01-16
"35261","ME",16,1,2006,2006-01-16
"35262","CT",16,1,2006,2006-01-16
"35263","ME",16,1,2006,2006-01-16
"35257","PA",17,1,2006,2006-01-17
"35258","CA",17,1,2006,2006-01-17
"35259","WA",17,1,2006,2006-01-17
"35254","MD",18,1,2006,2006-01-18
"35255","FL",18,1,2006,2006-01-18
"35256","LA",18,1,2006,2006-01-18
"35248","MO",19,1,2006,2006-01-19
"35249","PA",19,1,2006,2006-01-19
"35250","TX",19,1,2006,2006-01-19
"35251","IL",19,1,2006,2006-01-19
"35252","RI",19,1,2006,2006-01-19
"35253","NC",19,1,2006,2006-01-19
"35247","TX",20,1,2006,2006-01-20
"35246","CO",21,1,2006,2006-01-21
"35244","MI",22,1,2006,2006-01-22
"35245","VA",22,1,2006,2006-01-22
"35242","TX",23,1,2006,2006-01-23
"35243","VA",23,1,2006,2006-01-23
"35237","PA",24,1,2006,2006-01-24
"35238","MO",24,1,2006,2006-01-24
"35239","NC",24,1,2006,2006-01-24
"35240","CA",24,1,2006,2006-01-24
"35241","WA",24,1,2006,2006-01-24
"35234","IN",25,1,2006,2006-01-25
"35235","CA",25,1,2006,2006-01-25
"35236","IL",25,1,2006,2006-01-25
"35231","PA",26,1,2006,2006-01-26
"35232","IL",26,1,2006,2006-01-26
"35233","MI",26,1,2006,2006-01-26
"35228","CT",27,1,2006,2006-01-27
"35229","MA",27,1,2006,2006-01-27
"35230","TX",27,1,2006,2006-01-27
"35225","AL",28,1,2006,2006-01-28
"35226","CA",28,1,2006,2006-01-28
"35227","CA",28,1,2006,2006-01-28
"40857","KY",28,1,2006,2006-01-28
"35219","IN",29,1,2006,2006-01-29
"35220","PA",29,1,2006,2006-01-29
"35221","AZ",29,1,2006,2006-01-29
"35222","CA",29,1,2006,2006-01-29
"35223","VA",29,1,2006,2006-01-29
"35224","TX",29,1,2006,2006-01-29
"35216","AZ",30,1,2006,2006-01-30
"35217","FL",30,1,2006,2006-01-30
"35218","TX",30,1,2006,2006-01-30
"35215","SC",31,1,2006,2006-01-31
"35420","AL",1,2,2006,2006-02-01
"35421","CA",1,2,2006,2006-02-01
"35416","SC",2,2,2006,2006-02-02
"35417","CA",2,2,2006,2006-02-02
"35418","KY",2,2,2006,2006-02-02
"35419","IN",2,2,2006,2006-02-02
"35415","TX",3,2,2006,2006-02-03
"35413","NC",4,2,2006,2006-02-04
"35414","SD",4,2,2006,2006-02-04
"35411","CA",5,2,2006,2006-02-05
"35412","CA",5,2,2006,2006-02-05
"35403","FL",6,2,2006,2006-02-06
"35404","FL",6,2,2006,2006-02-06
"35405","AK",6,2,2006,2006-02-06
"35406","WA",6,2,2006,2006-02-06
"35407","NM",6,2,2006,2006-02-06
"35408","CA",6,2,2006,2006-02-06
"35409","OH",6,2,2006,2006-02-06
"35410","OR",6,2,2006,2006-02-06
"35401","IA",7,2,2006,2006-02-07
"35402","IL",7,2,2006,2006-02-07
"320","CA",8,2,2006,2006-02-08
"35395","FL",8,2,2006,2006-02-08
"35396","IA",8,2,2006,2006-02-08
"35397","TX",8,2,2006,2006-02-08
"35398","AZ",8,2,2006,2006-02-08
"35399","NY",8,2,2006,2006-02-08
"35400","WA",8,2,2006,2006-02-08
"35392","CA",9,2,2006,2006-02-09
"35393","ID",9,2,2006,2006-02-09
"35394","CA",9,2,2006,2006-02-09
"35387","NJ",10,2,2006,2006-02-10
"35388","PA",10,2,2006,2006-02-10
"35389","AL",10,2,2006,2006-02-10
"35390","NY",10,2,2006,2006-02-10
"35391","TN",10,2,2006,2006-02-10
"35384","MT",11,2,2006,2006-02-11
"35385","PA",11,2,2006,2006-02-11
"35386","AZ",11,2,2006,2006-02-11
"40858","MT",11,2,2006,2006-02-11
"35377","TN",13,2,2006,2006-02-13
"35378","CA",13,2,2006,2006-02-13
"35379","CA",13,2,2006,2006-02-13
"35380","IL",13,2,2006,2006-02-13
"35381","CO",13,2,2006,2006-02-13
"35382","CA",13,2,2006,2006-02-13
"35383","TX",13,2,2006,2006-02-13
"35372","NV",14,2,2006,2006-02-14
"35373","KS",14,2,2006,2006-02-14
"35374","KS",14,2,2006,2006-02-14
"35375","NY",14,2,2006,2006-02-14
"35376","OH",14,2,2006,2006-02-14
"35362","SC",15,2,2006,2006-02-15
"35363","KY",15,2,2006,2006-02-15
"35364","LA",15,2,2006,2006-02-15
"35365","CA",15,2,2006,2006-02-15
"35366","CA",15,2,2006,2006-02-15
"35367","CA",15,2,2006,2006-02-15
"35368","PA",15,2,2006,2006-02-15
"35369","AR",15,2,2006,2006-02-15
"35370","IN",15,2,2006,2006-02-15
