"","state","Date"
"35313","ME",2006-01-01
"35314","NM",2006-01-01
"35315","OK",2006-01-01
"35316","CA",2006-01-01
"35309","IL",2006-01-02
"35310","FL",2006-01-02
"35311","MI",2006-01-02
"35312","VA",2006-01-02
"35307","CO",2006-01-03
"35308","CA",2006-01-03
"35296","CA",2006-01-04
"35297","CA",2006-01-04
"35298","CA",2006-01-04
"35299","FL",2006-01-04
"35300","NC",2006-01-04
"35301","AR",2006-01-04
"35302","SC",2006-01-04
"35303","PA",2006-01-04
"35304","MT",2006-01-04
"35305","GA",2006-01-04
"35306","ND",2006-01-04
"35293","CA",2006-01-05
"35294","UT",2006-01-05
"35295","CA",2006-01-05
"35291","TX",2006-01-06
"35292","TX",2006-01-06
"35286","TX",2006-01-07
"35287","NY",2006-01-07
"35288","CT",2006-01-07
"35289","NC",2006-01-07
"35290","AZ",2006-01-07
"35283","FL",2006-01-08
"35284","TX",2006-01-08
"35285","CO",2006-01-08
"35282","CA",2006-01-09
"35281","NY",2006-01-10
"35279","WV",2006-01-11
"35280","FL",2006-01-11
"35274","PA",2006-01-12
"35275","CO",2006-01-12
"35276","MT",2006-01-12
"35277","NJ",2006-01-12
"35278","OK",2006-01-12
"319","OK",2006-01-13
"35270","OR",2006-01-14
"35271","FL",2006-01-14
"35272","NC",2006-01-14
"35273","MN",2006-01-14
"35264","FL",2006-01-15
"35265","NY",2006-01-15
"35266","AZ",2006-01-15
"35267","MO",2006-01-15
"35268","NY",2006-01-15
"35269","IL",2006-01-15
"35260","TX",2006-01-16
"35261","ME",2006-01-16
"35262","CT",2006-01-16
"35263","ME",2006-01-16
"35257","PA",2006-01-17
"35258","CA",2006-01-17
"35259","WA",2006-01-17
"35254","MD",2006-01-18
"35255","FL",2006-01-18
"35256","LA",2006-01-18
"35248","MO",2006-01-19
"35249","PA",2006-01-19
"35250","TX",2006-01-19
"35251","IL",2006-01-19
"35252","RI",2006-01-19
"35253","NC",2006-01-19
"35247","TX",2006-01-20
"35246","CO",2006-01-21
"35244","MI",2006-01-22
"35245","VA",2006-01-22
"35242","TX",2006-01-23
"35243","VA",2006-01-23
"35237","PA",2006-01-24
"35238","MO",2006-01-24
"35239","NC",2006-01-24
"35240","CA",2006-01-24
"35241","WA",2006-01-24
"35234","IN",2006-01-25
"35235","CA",2006-01-25
"35236","IL",2006-01-25
"35231","PA",2006-01-26
"35232","IL",2006-01-26
"35233","MI",2006-01-26
"35228","CT",2006-01-27
"35229","MA",2006-01-27
"35230","TX",2006-01-27
"35225","AL",2006-01-28
"35226","CA",2006-01-28
"35227","CA",2006-01-28
"40857","KY",2006-01-28
"35219","IN",2006-01-29
"35220","PA",2006-01-29
"35221","AZ",2006-01-29
"35222","CA",2006-01-29
"35223","VA",2006-01-29
"35224","TX",2006-01-29
"35216","AZ",2006-01-30
"35217","FL",2006-01-30
"35218","TX",2006-01-30
"35215","SC",2006-01-31
"35420","AL",2006-02-01
"35421","CA",2006-02-01
"35416","SC",2006-02-02
"35417","CA",2006-02-02
"35418","KY",2006-02-02
"35419","IN",2006-02-02
"35415","TX",2006-02-03
"35413","NC",2006-02-04
"35414","SD",2006-02-04
"35411","CA",2006-02-05
"35412","CA",2006-02-05
"35403","FL",2006-02-06
"35404","FL",2006-02-06
"35405","AK",2006-02-06
"35406","WA",2006-02-06
"35407","NM",2006-02-06
"35408","CA",2006-02-06
"35409","OH",2006-02-06
"35410","OR",2006-02-06
"35401","IA",2006-02-07
"35402","IL",2006-02-07
"320","CA",2006-02-08
"35395","FL",2006-02-08
"35396","IA",2006-02-08
"35397","TX",2006-02-08
"35398","AZ",2006-02-08
"35399","NY",2006-02-08
"35400","WA",2006-02-08
"35392","CA",2006-02-09
"35393","ID",2006-02-09
"35394","CA",2006-02-09
"35387","NJ",2006-02-10
"35388","PA",2006-02-10
"35389","AL",2006-02-10
"35390","NY",2006-02-10
"35391","TN",2006-02-10
"35384","MT",2006-02-11
"35385","PA",2006-02-11
"35386","AZ",2006-02-11
"40858","MT",2006-02-11
"35377","TN",2006-02-13
"35378","CA",2006-02-13
"35379","CA",2006-02-13
"35380","IL",2006-02-13
"35381","CO",2006-02-13
"35382","CA",2006-02-13
"35383","TX",2006-02-13
"35372","NV",2006-02-14
"35373","KS",2006-02-14
"35374","KS",2006-02-14
"35375","NY",2006-02-14
"35376","OH",2006-02-14
"35362","SC",2006-02-15
"35363","KY",2006-02-15
"35364","LA",2006-02-15
"35365","CA",2006-02-15
"35366","CA",2006-02-15
"35367","CA",2006-02-15
"35368","PA",2006-02-15
"35369","AR",2006-02-15
"35370","IN",2006-02-15
"35371","CA",2006-02-15
"35360","IL",2006-02-16
"35361","LA",2006-02-16
"35354","IL",2006-02-17
"35355","FL",2006-02-17
"35356","ME",2006-02-17
"35357","TN",2006-02-17
"35358","WA",2006-02-17
"35359","CT",2006-02-17
"35351","NC",2006-02-18
"35352","VT",2006-02-18
"35353","PA",2006-02-18
"35348","NY",2006-02-19
"35349","IL",2006-02-19
"35350","CA",2006-02-19
"35344","MI",2006-02-20
"35345","MA",2006-02-20
"35346","CA",2006-02-20
"35347","NV",2006-02-20
"35343","CO",2006-02-21
"35341","NY",2006-02-22
"35342","OR",2006-02-22
"35335","NC",2006-02-23
"35336","AZ",2006-02-23
"35337","AZ",2006-02-23
"35338","AR",2006-02-23
"35339","LA",2006-02-23
"35340","CA",2006-02-23
"35330","CA",2006-02-24
"35331","CO",2006-02-24
"35332","CA",2006-02-24
"35333","NM",2006-02-24
"35334","TX",2006-02-24
"35325","OH",2006-02-25
"35326","CA",2006-02-25
"35327","CA",2006-02-25
"35328","KY",2006-02-25
"35329","MO",2006-02-25
"35321","NM",2006-02-26
"35322","MS",2006-02-26
"35323","TN",2006-02-26
"35324","PA",2006-02-26
"35320","TN",2006-02-27
"35317","TX",2006-02-28
"35318","NM",2006-02-28
"35319","RI",2006-02-28
"35453","MS",2006-03-01
"35625","AZ",2006-03-01
"35626","CA",2006-03-01
"35627","NJ",2006-03-01
"35628","TX",2006-03-01
"35629","NY",2006-03-01
"35630","IN",2006-03-01
"35631","OR",2006-03-01
"36905","TN",2006-03-01
"37720","CA",2006-03-01
"36902","NY",2006-03-02
"36903","OR",2006-03-02
"36904","FL",2006-03-02
"35452","MO",2006-03-03
"35624","OH",2006-03-03
"36899","TN",2006-03-03
"36900","AR",2006-03-03
"36901","MI",2006-03-03
"37719","MS",2006-03-03
"35448","ID",2006-03-04
"35449","MI",2006-03-04
"35450","KY",2006-03-04
"35451","NV",2006-03-04
"35620","CA",2006-03-04
"35621","FL",2006-03-04
"35622","NC",2006-03-04
"35623","MI",2006-03-04
"37718","CA",2006-03-04
"35447","CA",2006-03-05
"35443","MO",2006-03-06
"35444","TN",2006-03-06
"35445","MO",2006-03-06
"35446","FL",2006-03-06
"36898","CA",2006-03-06
"36897","NY",2006-03-07
"37717","OH",2006-03-07
"36890","WA",2006-03-08
"36891","NY",2006-03-08
"36892","NJ",2006-03-08
"36893","OH",2006-03-08
"36894","FL",2006-03-08
"36895","IL",2006-03-08
"36896","WI",2006-03-08
"36889","MI",2006-03-09
"353","CA",2006-03-10
"36885","MO",2006-03-10
"36886","CA",2006-03-10
"36887","FL",2006-03-10
"36888","TX",2006-03-10
