"","patent_id","assignee_id","location_id","section","actiondate"
"1","6989115","77286d155ad95aa6b6d5ac241688786a","ykhdg3r1nrnl","B",2006-01-24
"2","6989115","77286d155ad95aa6b6d5ac241688786a","55lfcsh051qk","B",2006-01-24
"3","6989115","77286d155ad95aa6b6d5ac241688786a","xvzarh032x6y","B",2006-01-24
"4","6989115","77286d155ad95aa6b6d5ac241688786a","v0nkxpdgsnh4","B",2006-01-24
"5","6989628","4ff040785469aed358ec01e54abaadbc","g38eggr8cl11","H",2006-01-24
"6","6994913","023a40efb243a1c9ba024f225ce9bb87","f0ayrw5erwnf","B",2006-02-07
"7","6999730","e049345f8377d9fd1621ff42608935f7","tdk0ut5vx9ki","H",2006-02-14
"8","7002753","358d3cb746241ec1105de0542e47fbcd","zz18j7adgwo8","G",2006-02-21
"9","7002753","358d3cb746241ec1105de0542e47fbcd","kncnqhryd2me","G",2006-02-21
"10","7012719","3f71a4facd890af6522d475b26815d96","u0gcpkborhz6","H",2006-03-14
"11","7012719","3f71a4facd890af6522d475b26815d96","6ly4all6m9e7","H",2006-03-14
"12","7012913","e1a9954b9485a565fa1f3ddd0c514aed","zgujz647dwqh","H",2006-03-14
"13","7012913","e1a9954b9485a565fa1f3ddd0c514aed","pj1pyrgr3fr0","H",2006-03-14
"14","7012913","e1a9954b9485a565fa1f3ddd0c514aed","yr3emmtfrfkp","H",2006-03-14
"15","7013561","e1e0fae71630c91e562f05cc2dffa242","7e8n2sd3al5d","H",2006-03-21
"16","7013561","e1e0fae71630c91e562f05cc2dffa242","zpaind5vrehc","H",2006-03-21
"17","7013561","e1e0fae71630c91e562f05cc2dffa242","g4o64z2dtieq","H",2006-03-21
"18","7013561","e1e0fae71630c91e562f05cc2dffa242","4qmzdke0loj1","H",2006-03-21
"19","7013561","e1e0fae71630c91e562f05cc2dffa242","jzb54a79ah4g","H",2006-03-21
"20","7013561","e1e0fae71630c91e562f05cc2dffa242","zp5gw9vgbazs","H",2006-03-21
"21","7013561","e1e0fae71630c91e562f05cc2dffa242","wdeu5d0wnzo5","H",2006-03-21
"22","7013561","e1e0fae71630c91e562f05cc2dffa242","cw00u1ios082","H",2006-03-21
"23","7013561","e1e0fae71630c91e562f05cc2dffa242","zoa1t1p30gd1","H",2006-03-21
"24","7025586","f8fdf758109696fc6788fb4e8a4a159c","n194zx3m4152","B",2006-04-11
"25","7025586","f8fdf758109696fc6788fb4e8a4a159c","biqmx4xmthtd","B",2006-04-11
"26","7028143","7a049509a0c322120c1ceea60998eb35","va7c2bjr3euv","G",2006-04-11
"27","7028143","7a049509a0c322120c1ceea60998eb35","wdtx66b8ludm","G",2006-04-11
"28","7031618","a17808cd097372a4c59128e4cc86d0e7","mkeo7v870r3c","H",2006-04-18
"29","7031618","a17808cd097372a4c59128e4cc86d0e7","zgzui5ew1eif","H",2006-04-18
"30","7031618","a17808cd097372a4c59128e4cc86d0e7","tcyepdd0l9mq","H",2006-04-18
"31","7031618","a17808cd097372a4c59128e4cc86d0e7","u0itc5aoxl8z","H",2006-04-18
"32","7031618","a17808cd097372a4c59128e4cc86d0e7","xuaw38h5jx5t","H",2006-04-18
"34","7034309","6c00cb129070696ef109f6264da00318","q6nre3uw2pcv","G",2006-04-25
"35","7034309","6c00cb129070696ef109f6264da00318","kjugswzn21mm","G",2006-04-25
"36","7034309","6c00cb129070696ef109f6264da00318","z67u9xombbfg","G",2006-04-25
"37","7034334","a4c06ab83d6524d2f539acca2fcfc727","5cqz4exas8xv","H",2006-04-25
"38","7034334","a4c06ab83d6524d2f539acca2fcfc727","bnvqf7iyuhvu","H",2006-04-25
"39","7034334","a4c06ab83d6524d2f539acca2fcfc727","5c5oqb65lyi9","H",2006-04-25
"40","7034334","a4c06ab83d6524d2f539acca2fcfc727","0a275hlfr1xk","H",2006-04-25
"41","7034334","a4c06ab83d6524d2f539acca2fcfc727","0ottmisfd8uj","H",2006-04-25
"42","7034334","a4c06ab83d6524d2f539acca2fcfc727","ulmzqsz4srfg","H",2006-04-25
"43","7034334","a4c06ab83d6524d2f539acca2fcfc727","52jafzeo4bja","H",2006-04-25
"44","7034865","6c00cb129070696ef109f6264da00318","z67u9xombbfg","H",2006-04-25
"45","7034865","6c00cb129070696ef109f6264da00318","q6nre3uw2pcv","H",2006-04-25
"46","7034865","6c00cb129070696ef109f6264da00318","kjugswzn21mm","H",2006-04-25
"47","7034966","062af6b4d9f7708cfd5e659cd13a3726","xyj4n2xztl5p","H",2006-04-25
"48","7034966","062af6b4d9f7708cfd5e659cd13a3726","phqbq1kcw5zc","H",2006-04-25
"49","7034966","062af6b4d9f7708cfd5e659cd13a3726","yqpr9evqrksa","H",2006-04-25
"50","7034966","062af6b4d9f7708cfd5e659cd13a3726","5ggqnrpqj6c8","H",2006-04-25
"51","7034966","062af6b4d9f7708cfd5e659cd13a3726","s9f9zsz87ios","H",2006-04-25
"52","7034966","062af6b4d9f7708cfd5e659cd13a3726","55lfcsh051qk","H",2006-04-25
"53","7034966","062af6b4d9f7708cfd5e659cd13a3726","ytzhkvtkvvcu","H",2006-04-25
"54","7046395","9fc220bd99277bf63fd15dfba3353036","5s8pdlo0aafg","H",2006-05-16
"55","7046395","9fc220bd99277bf63fd15dfba3353036","hoxb54v4wk2g","H",2006-05-16
"56","7055021","d53c2711711a13aca2fc8958068f7fa5","tpbbtsnencs6","G",2006-05-30
"57","7055021","d53c2711711a13aca2fc8958068f7fa5","rfmxwk4iedfc","G",2006-05-30
"58","7055021","d53c2711711a13aca2fc8958068f7fa5","hs66agdaxwj2","G",2006-05-30
"59","7064210","4681373381395ced733a40550595bff4","368rgo0c5gr5","C",2006-06-20
